gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3909253739	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-12_T18_PM_5186	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	3	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.331809	107.01767	707.1						2022-01-12	12	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.194Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253738	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-12_T18_PM_5184	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	3	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.33189	107.021385	707.1						2022-01-12	12	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.193Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253737	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-12_T18_PM_5185	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	5	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.33188	107.017928	707.1						2022-01-12	12	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.193Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253736	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-3-15_T32_PM_5339	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	8	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.466005	106.769338	707.1						2022-03-15	15	3	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.051Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253735	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-12_T18_PM_5182	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	5	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.340756	107.02399	707.1						2022-01-12	12	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.193Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253734	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-12_T18_PM_5183	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.335859	107.023769	707.1						2022-01-12	12	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.193Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253733	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-3-23_T12_AM_5422	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	7	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.269975	107.148466	707.1						2022-03-23	23	3	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Khny Sokry			2025-10-08T02:31:47.143Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253732	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-3-23_T12_AM_5421	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	2	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.270245	107.148578	707.1						2022-03-23	23	3	2022	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Khny Sokry			2025-10-08T02:31:47.143Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253731	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-11_T10_PM_5122	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	2	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.270041	107.023439	707.1						2022-01-11	11	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Khny Sokry			2025-10-08T02:31:47.005Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3909253730	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2022_2022-1-11_T10_PM_5121	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.269962	107.023135	707.1						2022-01-11	11	1	2022	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Khny Sokry			2025-10-08T02:31:47.005Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
